Country,Date,Type,Number of Cases,Cumulative Cases
Afghanistan,2020-3-1,Deaths,0,0
Afghanistan,2020-3-1,Recovered,0,0
Afghanistan,2020-3-2,Confirmed,0,1
Afghanistan,2020-3-2,Deaths,0,0
Afghanistan,2020-3-2,Recovered,0,0
Afghanistan,2020-3-3,Confirmed,0,1
Afghanistan,2020-3-3,Deaths,0,0
Afghanistan,2020-3-3,Recovered,0,0
Afghanistan,2020-3-4,Confirmed,0,1
Afghanistan,2020-3-4,Deaths,0,0
Afghanistan,2020-3-4,Recovered,0,0
Afghanistan,2020-3-5,Confirmed,0,1
Afghanistan,2020-3-5,Deaths,0,0
Afghanistan,2020-3-5,Recovered,0,0
Afghanistan,2020-3-6,Confirmed,0,1
Afghanistan,2020-3-6,Deaths,0,0
Afghanistan,2020-3-6,Recovered,0,0
Afghanistan,2020-3-7,Confirmed,0,1
Afghanistan,2020-3-7,Deaths,0,0
Afghanistan,2020-3-7,Recovered,0,0
Afghanistan,2020-3-8,Confirmed,3,4
Afghanistan,2020-3-8,Deaths,0,0
Afghanistan,2020-3-8,Recovered,0,0
Afghanistan,2020-3-9,Confirmed,0,4
Afghanistan,2020-3-9,Deaths,0,0
Afghanistan,2020-3-9,Recovered,0,0
Afghanistan,2020-3-10,Confirmed,1,5
Afghanistan,2020-3-10,Deaths,0,0
Afghanistan,2020-3-10,Recovered,0,0
Afghanistan,2020-3-11,Confirmed,2,7
Afghanistan,2020-3-11,Deaths,0,0
Afghanistan,2020-3-11,Recovered,0,0
Afghanistan,2020-3-12,Confirmed,0,7
Afghanistan,2020-3-12,Deaths,0,0
Afghanistan,2020-3-12,Recovered,0,0
Afghanistan,2020-3-13,Confirmed,0,7
Afghanistan,2020-3-13,Deaths,0,0
Afghanistan,2020-3-13,Recovered,0,0
Afghanistan,2020-3-14,Confirmed,4,11
Afghanistan,2020-3-14,Deaths,0,0
Afghanistan,2020-3-14,Recovered,0,0
Afghanistan,2020-3-15,Confirmed,5,16
Afghanistan,2020-3-15,Deaths,0,0
Afghanistan,2020-3-15,Recovered,0,0
Afghanistan,2020-3-16,Confirmed,5,21
Afghanistan,2020-3-16,Deaths,0,0
Afghanistan,2020-3-16,Recovered,1,1
Afghanistan,2020-3-17,Confirmed,1,22
Afghanistan,2020-3-17,Deaths,0,0
Afghanistan,2020-3-17,Recovered,0,1
Afghanistan,2020-3-18,Confirmed,0,22
Afghanistan,2020-3-18,Deaths,0,0
Afghanistan,2020-3-18,Recovered,0,1
Afghanistan,2020-3-19,Confirmed,0,22
Afghanistan,2020-3-19,Deaths,0,0
Afghanistan,2020-3-19,Recovered,0,1
Afghanistan,2020-3-20,Confirmed,2,24
Afghanistan,2020-3-20,Deaths,0,0
Afghanistan,2020-3-20,Recovered,0,1
Afghanistan,2020-3-21,Confirmed,0,24
Afghanistan,2020-3-21,Deaths,0,0
Afghanistan,2020-3-21,Recovered,0,1
Afghanistan,2020-3-22,Confirmed,16,40
Afghanistan,2020-3-22,Deaths,1,1
Afghanistan,2020-3-22,Recovered,0,1
Afghanistan,2020-3-23,Confirmed,0,40
